seed,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
8,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,2,8
6,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,17,3
8,9,32,256,0.7666,0.1,az_good.ckpt,az_good.ckpt,1,8
5,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,96,12
4,9,32,256,1.0,0.1,az_good.ckpt,az_good.ckpt,4,64
6,9,32,256,0.0,0.1,az_good.ckpt,az_good.ckpt,230,2
7,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,11,9
2,9,32,256,0.6666,0.1,az_good.ckpt,az_good.ckpt,14,7
7,9,32,256,0.8,0.1,az_good.ckpt,az_good.ckpt,15,0
3,9,32,256,0.4333,1.0,az_good.ckpt,az_good.ckpt,10,10
8,9,32,256,0.1333,0.1,az_good.ckpt,az_good.ckpt,240,2
9,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,15,30
5,9,32,256,0.4,0.1,az_good.ckpt,az_good.ckpt,213,15
4,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,5,0
10,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,4,15
3,9,32,256,0.9,0.1,az_good.ckpt,az_good.ckpt,24,20
8,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,4,8
10,9,32,256,0.4333,1.0,az_good.ckpt,az_good.ckpt,5,3
9,9,32,256,0.9,0.1,az_good.ckpt,az_good.ckpt,18,9
2,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,41,8
7,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,49,10
3,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,15,16
10,9,32,256,0.6,20.0,az_good.ckpt,az_good.ckpt,3,13
4,9,32,256,0.8333,0.1,az_good.ckpt,az_good.ckpt,2,3
7,9,32,256,0.7333,0.1,az_good.ckpt,az_good.ckpt,7,2
9,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,15,30
9,9,32,256,0.7666,0.1,az_good.ckpt,az_good.ckpt,9,5
8,9,32,256,0.6,0.1,az_good.ckpt,az_good.ckpt,1,9
8,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,3,8
4,9,32,256,0.9666,0.1,az_good.ckpt,az_good.ckpt,4,64
1,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,9,11
8,9,32,256,0.8666,1.0,az_good.ckpt,az_good.ckpt,3,8
5,9,32,256,0.4333,0.1,az_good.ckpt,az_good.ckpt,198,19
2,9,32,256,0.4,20.0,az_good.ckpt,az_good.ckpt,41,8
1,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,13,7
3,9,32,256,0.6333,0.1,az_good.ckpt,az_good.ckpt,25,16
9,9,32,256,0.0,20.0,az_good.ckpt,az_good.ckpt,246,4
9,9,32,256,0.3,20.0,az_good.ckpt,az_good.ckpt,23,40
2,9,32,256,0.8666,0.1,az_good.ckpt,az_good.ckpt,128,8
8,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,240,1
9,9,32,256,0.8666,1.0,az_good.ckpt,az_good.ckpt,6,7
8,9,32,256,0.9,0.1,az_good.ckpt,az_good.ckpt,3,8
1,9,32,256,0.4666,0.1,az_good.ckpt,az_good.ckpt,98,16
2,9,32,256,0.9,20.0,az_good.ckpt,az_good.ckpt,36,11
2,9,32,256,0.9333,0.1,az_good.ckpt,az_good.ckpt,35,6
1,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,13,7
